Oggetto,Categoria,Componenti,Data di creazione,Data di modifica,ID,In uso,Oggetto di riferimento,Totali,Utilizzo
Tappo sensore,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:09 AM",10003010,,Sony α6500 (https://www.notion.so/11c1c309d24a812eb9cbc994594f4b1b?pvs=21),,Archiviato
Sony α6500,Corpi macchina,"Tappo sensore (https://www.notion.so/11c1c309d24a811db1f9c79d4d6e832c?pvs=21), Cover mirino (https://www.notion.so/11c1c309d24a815c89a2f1b949b8baa6?pvs=21), Cover hot shoe (https://www.notion.so/11c1c309d24a81c592c0e8515f00d175?pvs=21), Cage SmallRig (https://www.notion.so/11c1c309d24a8132a6d1ec93ac93e00d?pvs=21), Handgrip (https://www.notion.so/11c1c309d24a81bdbfdcee5dacb146e4?pvs=21), Telecomando ad infrarossi (https://www.notion.so/11c1c309d24a81c7b933c47bd3525f6a?pvs=21)","October 11, 2024 2:00 PM","May 23, 2025 1:09 AM",10003000,,,,Archiviato
Cage SmallRig,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:09 AM",10003020,,Sony α6500 (https://www.notion.so/11c1c309d24a812eb9cbc994594f4b1b?pvs=21),,Archiviato
Cover mirino,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:10 AM",10003050,,Sony α6500 (https://www.notion.so/11c1c309d24a812eb9cbc994594f4b1b?pvs=21),,Archiviato
Handgrip,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:09 AM",10003030,,Sony α6500 (https://www.notion.so/11c1c309d24a812eb9cbc994594f4b1b?pvs=21),,Archiviato
Cover hot shoe,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:09 AM",10003040,,Sony α6500 (https://www.notion.so/11c1c309d24a812eb9cbc994594f4b1b?pvs=21),,Archiviato
Telecomando ad infrarossi,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:10 AM",10003060,,Sony α6500 (https://www.notion.so/11c1c309d24a812eb9cbc994594f4b1b?pvs=21),,Archiviato
Cover PIN inferiori,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:08 AM",10002050,,Panasonic Lumix S5 (https://www.notion.so/11c1c309d24a81eab8e1e1310f0bdac4?pvs=21),,In uso
Bolla hot shoe,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:00 AM",10001040,,Panasonic Lumix S5 II X (https://www.notion.so/11c1c309d24a81dc8186f6be7d483ad2?pvs=21),,Attivo
Cover hot shoe,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:08 AM",10002040,,Panasonic Lumix S5 (https://www.notion.so/11c1c309d24a81eab8e1e1310f0bdac4?pvs=21),,Attivo
Panasonic Lumix S5,Corpi macchina,"Tappo sensore (https://www.notion.so/11c1c309d24a81f48649e2a7ea2ec8ee?pvs=21), Cover hot shoe (https://www.notion.so/11c1c309d24a8170af31ffb06e3674bb?pvs=21), Cage Niceyrig (https://www.notion.so/11c1c309d24a81398affe5d530c5639d?pvs=21), Moneta (https://www.notion.so/11c1c309d24a819a8870c6c34b15a361?pvs=21), Cover PIN inferiori (https://www.notion.so/11c1c309d24a8103a8d3ce559b1fd63f?pvs=21)","October 11, 2024 2:00 PM","May 23, 2025 1:00 AM",10002000,,,,Attivo
Tappo sensore,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:01 AM",10002010,,Panasonic Lumix S5 (https://www.notion.so/11c1c309d24a81eab8e1e1310f0bdac4?pvs=21),,In uso
Cage Niceyrig,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:08 AM",10002020,,Panasonic Lumix S5 (https://www.notion.so/11c1c309d24a81eab8e1e1310f0bdac4?pvs=21),,Attivo
Moneta,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:08 AM",10002030,,Panasonic Lumix S5 (https://www.notion.so/11c1c309d24a81eab8e1e1310f0bdac4?pvs=21),,Attivo
Panasonic Lumix S5 II X,Corpi macchina,"Tappo sensore (https://www.notion.so/11c1c309d24a818bb15dea95e9757530?pvs=21), Bolla hot shoe (https://www.notion.so/11c1c309d24a8165a8a2e5d0eb11266a?pvs=21), Cage SmallRig (https://www.notion.so/11c1c309d24a8173b65ff226ea616766?pvs=21), Avvitatore (https://www.notion.so/11c1c309d24a813db788ee1498a9a2cc?pvs=21), Cover hot shoe (https://www.notion.so/11c1c309d24a817f8917ce1e552482c6?pvs=21), Cover PIN inferiori (https://www.notion.so/11c1c309d24a81108f82e055c7cbd873?pvs=21)","October 11, 2024 2:00 PM","May 23, 2025 12:59 AM",10001000,,,,Attivo
Cover PIN inferiori,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:00 AM",10001060,,Panasonic Lumix S5 II X (https://www.notion.so/11c1c309d24a81dc8186f6be7d483ad2?pvs=21),,In uso
Avvitatore,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:00 AM",10001030,,Panasonic Lumix S5 II X (https://www.notion.so/11c1c309d24a81dc8186f6be7d483ad2?pvs=21),,Attivo
Cage SmallRig,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:00 AM",10001020,,Panasonic Lumix S5 II X (https://www.notion.so/11c1c309d24a81dc8186f6be7d483ad2?pvs=21),,Attivo
Cover hot shoe,Corpi macchina,,"October 11, 2024 2:00 PM","May 23, 2025 1:00 AM",10001050,,Panasonic Lumix S5 II X (https://www.notion.so/11c1c309d24a81dc8186f6be7d483ad2?pvs=21),,In uso
